1,H,Hydrogen,1.00794,gas,diatomic,1766
2,He,Helium,4.002602,gas,atomic,1868
3,Li,Lithium,6.941,solid,metallic,1817
4,Be,Beryllium,9.012182,solid,metallic,1798
5,B,Boron,10.811,solid,covalent network,1807
6,C,Carbon,12.0107,solid,covalent network,Ancient
7,N,Nitrogen,14.0067,gas,diatomic,1772
8,O,Oxygen,15.9994,gas,diatomic,1774
9,F,Fluorine,18.9984032,gas,atomic,1670
10,Ne,Neon,20.1797,gas,atomic,1898
11,Na,Sodium,22.98976928,solid,metallic,1807
12,Mg,Magnesium,24.3050,solid,metallic,1808
13,Al,Aluminum,26.9815386,solid,metallic,Ancient
14,Si,Silicon,28.0855,solid,metallic,1854
15,P,Phosphorus,30.973762,solid,covalent network,1669
16,S,Sulfur,32.065,solid,covalent network,Ancient
17,Cl,Chlorine,35.453,gas,covalent network,1774
18,Ar,Argon,39.948,gas,atomic,1894
19,K,Potassium,39.0983,solid,metallic,1807
20,Ca,Calcium,40.078,solid,metallic,Ancient
21,Sc,Scandium,44.955912,solid,metallic,1876
22,Ti,Titanium,47.867,solid,metallic,1791
23,V,Vanadium,50.9415,solid,metallic,1803
24,Cr,Chromium,51.9961,solid,metallic,Ancient
25,Mn,Manganese,54.938045,solid,metallic,1774
26,Fe,Iron,55.845,solid,metallic,Ancient
27,Co,Cobalt,58.933195,solid,metallic,Ancient
28,Ni,Nickel,58.6934,solid,metallic,1751
29,Cu,Copper,63.546,solid,metallic,Ancient
30,Zn,Zinc,65.38,solid,metallic,1746
31,Ga,Gallium,69.723,solid,metallic,1875
32,Ge,Germanium,72.64,solid,metallic,1886
33,As,Arsenic,74.92160,solid,metallic,Ancient
34,Se,Selenium,78.96,solid,metallic,1817
35,Br,Bromine,79.904,liquid,covalent network,1826
36,Kr,Krypton,83.798,gas,atomic,1898
37,Rb,Rubidium,85.4678,solid,metallic,1861
38,Sr,Strontium,87.62,solid,metallic,1790
39,Y,Yttrium,88.90585,solid,metallic,1794
40,Zr,Zirconium,91.224,solid,metallic,1789
41,Nb,Niobium,92.90638,solid,metallic,1801
42,Mo,Molybdenum,95.96,solid,metallic,1778
43,Tc,Technetium,98,solid,metallic,1937
44,Ru,Ruthenium,101.07,solid,metallic,1827
45,Rh,Rhodium,102.90550,solid,metallic,1803
46,Pd,Palladium,106.42,solid,metallic,1803
47,Ag,Silver,107.8682,solid,metallic,Ancient
48,Cd,Cadmium,112.411,solid,metallic,1817
49,In,Indium,114.818,solid,metallic,1863
50,Sn,Tin,118.710,solid,metallic,Ancient
51,Sb,Antimony,121.760,solid,metallic,Ancient
52,Te,Tellurium,127.60,solid,metallic,1782
53,I,Iodine,126.90447,solid,covalent network,1811
54,Xe,Xenon,131.293,gas,atomic,1898
55,Cs,Cesium,132.9054519,solid,metallic,1860
56,Ba,Barium,137.327,solid,metallic,1808
57,La,Lanthanum,138.90547,solid,metallic,1839
58,Ce,Cerium,140.116,solid,metallic,1803
59,Pr,Praseodymium,140.90765,solid,metallic,1885
60,Nd,Neodymium,144.242,solid,metallic,1885
61,Pm,Promethium,145,solid,metallic,1947
62,Sm,Samarium,150.36,solid,metallic,1853
63,Eu,Europium,151.964,solid,metallic,1901
64,Gd,Gadolinium,157.25,solid,metallic,1880
65,Tb,Terbium,158.92535,solid,metallic,1843
66,Dy,Dysprosium,162.500,solid,metallic,1886
67,Ho,Holmium,164.93032,solid,metallic,1878
68,Er,Erbium,167.259,solid,metallic,1842
69,Tm,Thulium,168.93421,solid,metallic,1879
70,Yb,Ytterbium,173.054,solid,metallic,1878
71,Lu,Lutetium,174.9668,solid,metallic,1907
72,Hf,Hafnium,178.49,solid,metallic,1923
73,Ta,Tantalum,180.94788,solid,metallic,1802
74,W,Tungsten,183.84,solid,metallic,1783
75,Re,Rhenium,186.207,solid,metallic,1925
76,Os,Osmium,190.23,solid,metallic,1803
77,Ir,Iridium,192.217,solid,metallic,1803
78,Pt,Platinum,195.084,solid,metallic,Ancient
79,Au,Gold,196.966569,solid,metallic,Ancient
80,Hg,Mercury,200.59,liquid,metallic,Ancient
81,Tl,Thallium,204.3833,solid,metallic,1861
82,Pb,Lead,207.2,solid,metallic,Ancient
